# RUN METADATA
# Timestamp,2026-04-15T10:25:38
# Threshold,0.6
# Analysed,467
# Passed,101

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
AXISBANK,0.6869,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,AXISBANK,Financial Services,Unknown,1371.2,0,2.0566847,16.3,7.11,,25.72,18.36,3.8,34.17,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",424535.0,44384.0,16.1,LOW
BANKINDIA,0.6866,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (39.8%). Caveat: Missing Moat data.,BANKINDIA,Financial Services,Unknown,148.4,0,0.78162444,12.4,6.17,,39.83,16.33,6.7,31.186000000000003,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",67516.0,18534.0,6.64,LOW
MOTHERSON,0.6865,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (63.3%).,MOTHERSON,Automobile and Auto Components,Unknown,124.0,0,3.5406318,12.2,13.7,,63.27,21.38,16.400000000000002,2.8299998,43.972,44.75919421294836,5.176073765182259,15.488324689068596,"{'dsri': np.float64(0.9684910214184944), 'gmi': np.float64(0.9704978056655953), 'sgi': np.float64(1.1509673816775312), 'lvgi': np.float64(0.7915999702931006), 'tata': np.float64(-0.026744988814968233)}",130822.0,6286.0,37.1,LOW
OBEROIRLTY,0.6852,GOOD candidate (Realty). Profile: Average Performer (Requires Strict Checklist Review).,OBEROIRLTY,Realty,Unknown,1693.2,0,3.6775916,14.7,17.7,,28.57,25.06,0.6,41.36,62.269,64.79424577877431,57.52426571250968,2.1497880227835053,"{'dsri': np.float64(0.4715912461992811), 'gmi': np.float64(0.925373614888865), 'sgi': np.float64(1.1699033975723587), 'lvgi': np.float64(1.1418879436766285), 'tata': np.float64(0.0027674754044960653)}",61774.0,2163.0,27.4,LOW
DLF,0.6851,GOOD candidate (Realty). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (42.8%).,DLF,Realty,Unknown,578.95,0,3.330802,11.4,6.51,,42.77,11.65,13.600000000000001,46.577,40.117002,48.008191678944975,26.612583582124206,10.095056370330937,"{'dsri': np.float64(1.1724502086436879), 'gmi': np.float64(1.151766806495443), 'sgi': np.float64(1.2716169141072964), 'lvgi': np.float64(0.7361981369680503), 'tata': np.float64(-0.012487892400620154)}",143160.0,5235.0,33.2,MODERATE
HDFCBANK,0.6819,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,HDFCBANK,Financial Services,Unknown,813.2,0,2.2143438,14.4,7.51,,20.39,32.5,11.5,26.186999999999998,0.0,,,13.62975257686227,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",1251712.0,127242.0,16.8,LOW
SAGILITY,0.6789,GOOD candidate (Information Technology). Profile: Average Performer (Requires Strict Checklist Review). Notable: massive gross margins. Caveat: Missing Growth data; Missing Quality data.,SAGILITY,Information Technology,Unknown,43.06,0,2.2911568,,,,,,23.9,12.611,36.367,43.081352364612904,15.083489559451325,15.544501732341482,"{'dsri': np.float64(0.9956246196431513), 'gmi': np.float64(0.9798116564114899), 'sgi': np.float64(1.1717368698850146), 'lvgi': np.float64(0.5343844703631255), 'tata': np.float64(-0.06107726245104478)}",,,23.790056,LOW
CIPLA,0.6774,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review).,CIPLA,Healthcare,Unknown,1224.7,0,3.00517,17.8,22.7,,27.96,7.88,-50.0,16.256,65.189004,64.03537984336204,22.634479506656746,20.284725957252427,"{'dsri': np.float64(1.0819842874688161), 'gmi': np.float64(0.9729610103080175), 'sgi': np.float64(1.0667581522582754), 'lvgi': np.float64(0.6854811439653439), 'tata': np.float64(0.007155955646662587)}",98865.0,5005.0,20.8,LOW
VBL,0.6753,GOOD candidate (Fast Moving Consumer Goods). Profile: Average Performer (Requires Strict Checklist Review).,VBL,Fast Moving Consumer Goods,Unknown,443.55,0,7.661813,16.2,19.7,,26.57,17.26,33.300000000000004,14.002,55.198,52.50446804748484,18.528108333616515,5.994983153987472,"{'dsri': np.float64(1.378185561824921), 'gmi': np.float64(1.0158465891027872), 'sgi': np.float64(1.0714607720650289), 'lvgi': np.float64(0.8034083008715011), 'tata': np.float64(-0.018494899855099653)}",149793.0,3509.0,51.1,LOW
MRF,0.6746,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (40.8%). Caveat: Missing Quality data.,MRF,Automobile and Auto Components,Unknown,136895.0,0,2.9864333,,,,40.83,13.71,50.0,7.3850006,35.733002,34.06186528104757,9.010301347847255,12.047372330561094,"{'dsri': np.float64(1.034748212059646), 'gmi': np.float64(1.1109267671901386), 'sgi': np.float64(1.1185155538745046), 'lvgi': np.float64(1.2137321613351242), 'tata': np.float64(5.0394037404551494e-05)}",,,26.066696,LOW
